split,case_id,dead_band_k_wad,required_toxic_epochs,persistence_window,fast_path_enabled,benign_false_positive_rate_wad,persistent_effective_detection_latency_steps,persistent_lp_improvement_quote_wad,pareto_optimal
holdout,h4__k_0p25__p_2_of_3__fast_false,250000000000000000,2,3,False,0,14,3288282600000000000,False
holdout,h4__k_0p25__p_2_of_3__fast_true,250000000000000000,2,3,True,154444444444444444,7,3344028400000000000,True
holdout,h4__k_0p25__p_3_of_5__fast_false,250000000000000000,3,5,False,0,18,3217627700000000000,False
holdout,h4__k_0p25__p_3_of_5__fast_true,250000000000000000,3,5,True,154444444444444444,7,3344028400000000000,True
holdout,h4__k_0p5__p_1_of_1__fast_false,500000000000000000,1,1,False,0,10,3036162900000000000,False
holdout,h4__k_0p5__p_1_of_1__fast_true,500000000000000000,1,1,True,108611111111111110,7,3051493600000000000,True
holdout,h4__k_0p5__p_1_of_2__fast_false,500000000000000000,1,2,False,0,10,3036162900000000000,False
holdout,h4__k_0p5__p_1_of_2__fast_true,500000000000000000,1,2,True,108611111111111110,7,3051493600000000000,True
holdout,h4__k_0p5__p_2_of_3__fast_false,500000000000000000,2,3,False,0,15,2985139200000000000,False
holdout,h4__k_0p5__p_2_of_3__fast_true,500000000000000000,2,3,True,108611111111111110,7,3051493600000000000,True
holdout,h4__k_0p5__p_3_of_5__fast_false,500000000000000000,3,5,False,0,21,2927834300000000000,False
holdout,h4__k_0p5__p_3_of_5__fast_true,500000000000000000,3,5,True,108611111111111110,7,3051493600000000000,True
holdout,h4__k_1__p_1_of_1__fast_false,1000000000000000000,1,1,False,0,12,2449863500000000000,False
holdout,h4__k_1__p_1_of_1__fast_true,1000000000000000000,1,1,True,33333333333333333,7,2468154500000000000,True
holdout,h4__k_1__p_1_of_2__fast_false,1000000000000000000,1,2,False,0,12,2449863500000000000,False
holdout,h4__k_1__p_1_of_2__fast_true,1000000000000000000,1,2,True,33333333333333333,7,2468154500000000000,True
holdout,h4__k_1__p_2_of_3__fast_false,1000000000000000000,2,3,False,0,16,2415976800000000000,False
holdout,h4__k_1__p_2_of_3__fast_true,1000000000000000000,2,3,True,33333333333333333,7,2468154500000000000,True
holdout,h4__k_1__p_3_of_5__fast_false,1000000000000000000,3,5,False,0,23,2369213400000000000,False
holdout,h4__k_1__p_3_of_5__fast_true,1000000000000000000,3,5,True,33333333333333333,7,2468154500000000000,True
holdout,h4__k_1p5__p_1_of_1__fast_false,1500000000000000000,1,1,False,0,24,1823324500000000000,False
holdout,h4__k_1p5__p_1_of_1__fast_true,1500000000000000000,1,1,True,0,7,1878621500000000000,True
holdout,h4__k_1p5__p_1_of_2__fast_false,1500000000000000000,1,2,False,0,24,1823324500000000000,False
holdout,h4__k_1p5__p_1_of_2__fast_true,1500000000000000000,1,2,True,0,7,1878621500000000000,True
holdout,h4__k_1p5__p_2_of_3__fast_false,1500000000000000000,2,3,False,0,31,1787249100000000000,False
holdout,h4__k_1p5__p_2_of_3__fast_true,1500000000000000000,2,3,True,0,7,1876683500000000000,False
holdout,h4__k_1p5__p_3_of_5__fast_false,1500000000000000000,3,5,False,0,36,1749313700000000000,False
holdout,h4__k_1p5__p_3_of_5__fast_true,1500000000000000000,3,5,True,0,7,1878520100000000000,False
