case_id,dimension,value_label,scenario,seed,policy,event_count,gain_fee_pips,mean_applied_fee_pips,lp_fee_revenue_quote_wad,inventory_pnl_quote_wad,lp_net_pnl_quote_wad,realized_adverse_markout_quote_wad,benign_trader_fees_quote_wad,toxic_trader_fees_quote_wad,false_positive_rate_wad,false_negative_rate_wad,detection_latency_steps,toxic_notional_premium_rate_wad,time_above_baseline_rate_wad,fee_oscillation_pips,directionally_correct_toxic_rate_wad,toxic_buy_mean_fee_pips,toxic_sell_mean_fee_pips,correlation_with_volatility_only_wad,hook_gas_per_swap,reactive_callback_latency_steps,applied_callbacks,missing_callbacks,rejected_callbacks,expired_reference_count
default,default,default,high_volatility_uninformed,401,thetashield,240,500000,500,1851500000000000000,1292352978858659902,3143852978858659902,3691556836915568000,1851500000000000000,0,0,,,,0,0,,,,0,199973,3,29,0,0,0
default,default,default,high_volatility_uninformed,503,thetashield,240,500000,500,1873500000000000000,-9907356168764416295,-8033856168764416295,3431643704316436700,1873500000000000000,0,0,,,,0,0,,,,0,199973,3,29,0,0,0
default,default,default,toxic_volatility_burst,101,thetashield,240,500000,553,2097091000000000000,-61571617373927859796,-59474526373927859796,5068252440682523900,1675541000000000000,421550000000000000,81521739130434782,875000000000000000,49,122282608695652173,91666666666666666,2188,125000000000000000,574,,-8582729764754329,199973,3,29,0,0,0
default,default,default,toxic_volatility_burst,211,thetashield,240,500000,500,1782500000000000000,-214061397937394704761,-212278897937394704761,5238413042384129900,1377000000000000000,405500000000000000,0,1000000000000000000,,0,0,0,0,500,,0,199973,3,30,0,0,0
default,default,default,toxic_volatility_burst,307,thetashield,240,500000,557,1958636000000000000,-95134806004831224200,-93176170004831224200,5696773666967736100,1472372000000000000,486264000000000000,97826086956521739,910714285714285714,51,89347079037800687,95833333333333333,2224,89285714285714285,556,,92873847495239427,199973,3,29,0,0,0
default,default,default,toxic_volatility_burst,401,thetashield,240,500000,543,1932531000000000000,-97056742210835099892,-95124211210835099892,5345402923454028700,1475582000000000000,456949000000000000,76086956521739130,875000000000000000,49,125778331257783312,87500000000000000,2856,125000000000000000,568,,120110680205862289,199973,3,29,0,0,0
default,default,default,toxic_volatility_burst,503,thetashield,240,500000,553,1917307000000000000,-77615113286549489061,-75697806286549489061,5542097655420976000,1390115000000000000,527192000000000000,59782608695652173,642857142857142857,36,337974683544303797,129166666666666666,1374,357142857142857142,675,,123337595381461149,199973,3,29,0,0,0
default,default,default,neutral_inside_attack,101,thetashield,240,500000,758,2798062000000000000,-813213088993392503193,-810415026993392503193,10697046396970462900,948742000000000000,1849320000000000000,173076923076923076,389705882352941176,58,616706443914081145,420833333333333333,3042,610294117647058823,883,,278089872872644195,199973,3,29,0,0,0
default,default,default,neutral_inside_attack,211,thetashield,240,500000,793,2791302000000000000,-904466344180943401363,-901675042180943401363,10667647436676473300,948311000000000000,1842991000000000000,207920792079207920,381294964028776978,60,617704280155642023,445833333333333333,3028,618705035971223021,895,,169924919777629726,199973,3,29,0,0,0
default,default,default,neutral_inside_attack,307,thetashield,240,500000,792,2694494000000000000,-956495464293487159641,-953800970293487159641,10141396481413963800,939637000000000000,1754857000000000000,225490196078431372,442028985507246376,58,538109756097560975,416666666666666666,4730,557971014492753623,901,,281208010944239295,199973,3,30,0,0,0
default,default,default,neutral_inside_attack,401,thetashield,240,500000,720,2541250000000000000,-777387938336097426006,-774846688336097426006,9721940627219405300,1007400000000000000,1533850000000000000,219047619047619047,474074074074074074,60,542872454448017148,391666666666666666,3072,525925925925925925,810,,346259609279905534,199973,3,29,0,0,0
default,default,default,neutral_inside_attack,503,thetashield,240,500000,746,2684959000000000000,-935209464150904695539,-932524505150904695539,10830029338300292300,997695000000000000,1687264000000000000,223300970873786407,423357664233576642,53,558549730524252817,425000000000000000,3596,576642335766423357,844,,270611698935456552,199973,3,29,0,0,0
default,default,default,microtrade_spam,101,thetashield,240,500000,500,413805000000000000,-128919845423495859262,-128506040423495859262,4253198705131986626,29305000000000000,384500000000000000,0,1000000000000000000,,0,0,0,0,500,,0,199973,3,29,0,0,0
default,default,default,microtrade_spam,211,thetashield,240,500000,500,424655000000000000,-144252391673995252421,-143827736673995252421,4228086216980861747,63155000000000000,361500000000000000,0,1000000000000000000,,0,0,0,0,500,,0,199973,3,29,0,0,0
default,default,default,microtrade_spam,307,thetashield,240,500000,500,410230000000000000,-131061391051462302972,-130651161051462302972,4101328881313288403,79730000000000000,330500000000000000,0,1000000000000000000,,0,0,0,0,500,,0,199973,3,29,0,0,0
default,default,default,microtrade_spam,401,thetashield,240,500000,500,393790000000000000,-123496844655066476748,-123103054655066476748,4098834125988340850,40790000000000000,353000000000000000,0,1000000000000000000,,0,0,0,0,500,,0,199973,3,29,0,0,0
default,default,default,microtrade_spam,503,thetashield,240,500000,500,378215000000000000,-125294683825491531569,-124916468825491531569,3950227004702269652,60215000000000000,318000000000000000,0,1000000000000000000,,0,0,0,0,500,,0,199973,3,29,0,0,0
default,default,default,oversized_observation,101,thetashield,240,500000,500,2937000000000000000,-795009811755054463576,-792072811755054463576,28178928712649406300,1264000000000000000,1673000000000000000,0,1000000000000000000,,0,0,0,0,,500,0,199973,3,29,0,0,0
default,default,default,oversized_observation,211,thetashield,240,500000,500,2736500000000000000,-707617577083023720278,-704881077083023720278,24053992080675738700,1150000000000000000,1586500000000000000,0,1000000000000000000,,0,0,0,0,,500,0,199973,3,29,0,0,0
default,default,default,oversized_observation,307,thetashield,240,500000,500,2780500000000000000,-710029040121309983776,-707248540121309983776,25605999687717426500,1151500000000000000,1629000000000000000,0,1000000000000000000,,0,0,0,0,,500,0,199973,3,29,0,0,0
default,default,default,oversized_observation,401,thetashield,240,500000,500,2849000000000000000,-828947766449098849902,-826098766449098849902,27745565392554965200,1164000000000000000,1685000000000000000,0,1000000000000000000,,0,0,0,0,,500,0,199973,3,29,0,0,0
default,default,default,oversized_observation,503,thetashield,240,500000,500,2816500000000000000,-686308241273818832596,-683491741273818832596,25629034357549119100,1273000000000000000,1543500000000000000,0,1000000000000000000,,0,0,0,0,,500,0,199973,3,29,0,0,0
default,default,default,conflicting_references,101,thetashield,240,500000,500,1740000000000000000,-1241455105534918860601,-1239715105534918860601,12452760024527599000,551500000000000000,1188500000000000000,0,1000000000000000000,,0,0,0,0,500,,0,199973,3,29,0,0,0
default,default,default,conflicting_references,211,thetashield,240,500000,500,1769500000000000000,-1202383551788898870537,-1200614051788898870537,11908117689081175700,619500000000000000,1150000000000000000,0,1000000000000000000,,0,0,0,0,500,,0,199973,3,29,0,0,0
default,default,default,conflicting_references,307,thetashield,240,500000,500,1778000000000000000,-1541504094439101245909,-1539726094439101245909,11732435377324352600,634000000000000000,1144000000000000000,0,1000000000000000000,,0,0,0,0,500,,0,199973,3,29,0,0,0
default,default,default,conflicting_references,401,thetashield,240,500000,500,1700500000000000000,-1504700616309213670721,-1503000116309213670721,12260279672602795500,531000000000000000,1169500000000000000,0,1000000000000000000,,0,0,0,0,500,,0,199973,3,29,0,0,0
default,default,default,conflicting_references,503,thetashield,240,500000,500,1784000000000000000,-1374907224336934709678,-1373123224336934709678,12134896611348964900,625500000000000000,1158500000000000000,0,1000000000000000000,,0,0,0,0,500,,0,199973,3,29,0,0,0
default,default,default,stale_references,101,thetashield,240,500000,638,2334279000000000000,-781042892581958854082,-778708613581958854082,12906882229068821000,716222000000000000,1618057000000000000,154761904761904761,647435897435897435,121,337064676616915422,283333333333333333,6398,352564102564102564,,678,280419567413602819,199973,3,19,0,0,80
default,default,default,stale_references,211,thetashield,240,500000,670,2268589000000000000,-793591663476375659172,-791323074476375659172,12220813222208131000,607507000000000000,1661082000000000000,103896103896103896,631901840490797546,105,360068995256576110,283333333333333333,9706,368098159509202453,,722,283409438891111522,199973,3,19,0,0,80
default,default,default,stale_references,307,thetashield,240,500000,627,2367219000000000000,-924032535297686134133,-921665316297686134133,13749566757495666200,571947000000000000,1795272000000000000,58823529411764705,674418604651162790,125,354396650171298058,250000000000000000,8778,325581395348837209,,663,266815271415059734,199973,3,19,0,0,80
default,default,default,stale_references,401,thetashield,240,500000,669,2456238000000000000,-828398052711417292508,-825941814711417292508,13509041265090411300,591804000000000000,1864434000000000000,80000000000000000,587878787878787878,108,426953125000000000,308333333333333333,7494,412121212121212121,,726,237549018054624693,199973,3,19,0,0,80
default,default,default,stale_references,503,thetashield,240,500000,782,2707582000000000000,-850152863870042070297,-847445281870042070297,13400630864006307300,527510000000000000,2180072000000000000,132352941176470588,529069767441860465,89,467107824056052938,375000000000000000,14870,470930232558139534,,852,276534878889039824,199973,3,19,0,0,80
default,default,default,missing_callbacks,101,thetashield,240,500000,671,2456877000000000000,-1486173427053148230682,-1483716550053148230682,12893120048931199200,659805000000000000,1797072000000000000,125000000000000000,575000000000000000,88,423600000000000000,325000000000000000,8522,425000000000000000,723,,166468672473962462,199973,3,14,15,0,0
default,default,default,missing_callbacks,211,thetashield,240,500000,695,2444951000000000000,-1336232742270705951058,-1333787791270705951058,12607549366075492400,570561000000000000,1874390000000000000,148648648648648648,548192771084337349,66,488249594813614262,358333333333333333,9482,451807228915662650,742,,154420321165590532,199973,3,14,15,0,0
default,default,default,missing_callbacks,307,thetashield,240,500000,735,2586491000000000000,-1338786878181049604603,-1336200387181049604603,12344974743449746200,576521000000000000,2009970000000000000,65789473684210526,554878048780487804,83,453719008264462809,325000000000000000,12375,445121951219512195,821,,166114602716507084,199973,3,15,15,0,0
default,default,default,missing_callbacks,401,thetashield,240,500000,787,2951640000000000000,-1763189808243461391317,-1760238168243461391317,14348373283483731400,593492000000000000,2358148000000000000,131147540983606557,536312849162011173,72,467343976777939042,379166666666666666,12032,463687150837988826,851,,86011966146207014,199973,3,14,15,0,0
default,default,default,missing_callbacks,503,thetashield,240,500000,694,2579250000000000000,-1659961564293330125615,-1657382314293330125615,13487063234870631000,655432000000000000,1923818000000000000,146666666666666666,527272727272727272,70,467741935483870967,370833333333333333,8550,472727272727272727,750,,227278460750544247,199973,3,14,15,0,0
default,default,default,replayed_callbacks,101,thetashield,240,500000,804,2814523000000000000,-1314520572075256994151,-1311706049075256994151,12429067274290671500,631210000000000000,2183313000000000000,153846153846153846,376543209876543209,82,621520565018695471,470833333333333333,2600,623456790123456790,903,,339270463930814311,199973,3,29,0,29,0
default,default,default,replayed_callbacks,211,thetashield,240,500000,884,3251206000000000000,-1810083693835864954123,-1806832487835864954123,14142799301427991600,566345000000000000,2684861000000000000,80645161290322580,331460674157303370,69,648796498905908096,516666666666666666,2102,668539325842696629,998,,341109303219142634,199973,3,29,0,29,0
