scenario,seed,policy,event_count,gain_fee_pips,mean_applied_fee_pips,lp_fee_revenue_quote_wad,inventory_pnl_quote_wad,lp_net_pnl_quote_wad,realized_adverse_markout_quote_wad,benign_trader_fees_quote_wad,toxic_trader_fees_quote_wad,false_positive_rate_wad,false_negative_rate_wad,detection_latency_steps,toxic_notional_premium_rate_wad,time_above_baseline_rate_wad,fee_oscillation_pips,directionally_correct_toxic_rate_wad,toxic_buy_mean_fee_pips,toxic_sell_mean_fee_pips,correlation_with_volatility_only_wad,hook_gas_per_swap,reactive_callback_latency_steps,applied_callbacks,missing_callbacks,rejected_callbacks,expired_reference_count
persistent_informed_buying,101,dead_band_no_persistence,240,350000,817,2943455000000000000,-1403436187671588794612,-1400492732671588794612,13449867514498673800,611336000000000000,2332119000000000000,208955223880597014,161849710982658959,32,854908095424325381,662500000000000000,3934,838150289017341040,901,,404097074560268806,80253,3,29,0,0,0
persistent_informed_buying,101,thetashield,240,500000,865,3112476000000000000,-1403436187671588794612,-1400323711671588794612,13449867514498673800,625112000000000000,2487364000000000000,179104477611940298,289017341040462427,59,721548689870942510,562500000000000000,3208,710982658959537572,960,,411214004701367788,80253,3,29,0,0,0
persistent_informed_buying,211,fixed_fee,240,0,500,1719000000000000000,-1468719876115384226588,-1467000876115384226588,12595649675956495500,510500000000000000,1208500000000000000,0,1000000000000000000,,0,0,0,0,500,,0,80253,,0,0,0,0
persistent_informed_buying,211,volatility_only,240,200000,872,2989518000000000000,-1468719876115384226588,-1465730358115384226588,12595649675956495500,742655000000000000,2246863000000000000,539473684210526315,42682926829268292,9,947455523376086057,825000000000000000,2628,0,936,,1000000000000000000,80253,3,30,0,0,0
persistent_informed_buying,211,raw_positive_markout,240,100000,838,2873693000000000000,-1468719876115384226588,-1465846183115384226588,12595649675956495500,664736000000000000,2208957000000000000,394736842105263157,18292682926829268,3,978071990070335126,795833333333333333,2556,981707317073170731,921,,726984857992241410,80253,3,29,0,0,0
persistent_informed_buying,211,dead_band_no_persistence,240,350000,711,2418285000000000000,-1468719876115384226588,-1466301591115384226588,12595649675956495500,598454000000000000,1819831000000000000,263157894736842105,243902439024390243,28,731071576334298717,600000000000000000,3520,756097560975609756,763,,348409816514303707,80253,3,29,0,0,0
persistent_informed_buying,211,thetashield,240,500000,678,2353497000000000000,-1468719876115384226588,-1466366379115384226588,12595649675956495500,567856000000000000,1785641000000000000,118421052631578947,518292682926829268,103,496483243690525444,366666666666666666,2580,481707317073170731,733,,192599867859391259,80253,3,29,0,0,0
persistent_informed_buying,307,fixed_fee,240,0,500,1791000000000000000,-1542416528252347810730,-1540625528252347810730,12952515009525148800,524000000000000000,1267000000000000000,0,1000000000000000000,,0,0,0,0,500,,0,80253,,0,0,0,0
persistent_informed_buying,307,volatility_only,240,200000,852,3074620000000000000,-1542416528252347810730,-1539341908252347810730,12952515009525148800,762793000000000000,2311827000000000000,534246575342465753,47904191616766467,10,962509865824782951,825000000000000000,2558,0,905,,1000000000000000000,80253,3,30,0,0,0
persistent_informed_buying,307,raw_positive_markout,240,100000,828,2980434000000000000,-1542416528252347810730,-1539436094252347810730,12952515009525148800,642776000000000000,2337658000000000000,452054794520547945,53892215568862275,9,956195737963693764,795833333333333333,3378,946107784431137724,920,,646563535159131775,80253,3,29,0,0,0
persistent_informed_buying,307,dead_band_no_persistence,240,350000,788,2831569000000000000,-1542416528252347810730,-1539584959252347810730,12952515009525148800,648076000000000000,2183493000000000000,232876712328767123,239520958083832335,27,768350434096290449,600000000000000000,5028,760479041916167664,862,,309823712141953292,80253,3,29,0,0,0
persistent_informed_buying,307,thetashield,240,500000,809,2883587000000000000,-1542416528252347810730,-1539532941252347810730,12952515009525148800,686452000000000000,2197135000000000000,246575342465753424,341317365269461077,61,645619573796369376,533333333333333333,4950,658682634730538922,875,,430299233792379095,80253,3,29,0,0,0
persistent_informed_buying,401,fixed_fee,240,0,500,1799000000000000000,-1800132614311520963865,-1798333614311520963865,13813327948133278100,450500000000000000,1348500000000000000,0,1000000000000000000,,0,0,0,0,500,,0,80253,,0,0,0,0
persistent_informed_buying,401,volatility_only,240,200000,816,2934515000000000000,-1800132614311520963865,-1797198099311520963865,13813327948133278100,582731000000000000,2351784000000000000,428571428571428571,33898305084745762,10,968112717834631071,825000000000000000,2732,0,872,,1000000000000000000,80253,3,30,0,0,0
persistent_informed_buying,401,raw_positive_markout,240,100000,869,3123636000000000000,-1800132614311520963865,-1797008978311520963865,13813327948133278100,526650000000000000,2596986000000000000,365079365079365079,28248587570621468,8,973674453096032628,812500000000000000,1938,971751412429378531,962,,751295248561931235,80253,3,29,0,0,0
persistent_informed_buying,401,dead_band_no_persistence,240,350000,885,3191134000000000000,-1800132614311520963865,-1796941480311520963865,13813327948133278100,538548000000000000,2652586000000000000,190476190476190476,107344632768361581,26,896180941787170930,708333333333333333,3736,892655367231638418,980,,501452059512486628,80253,3,29,0,0,0
persistent_informed_buying,401,thetashield,240,500000,907,3267049000000000000,-1800132614311520963865,-1796865565311520963865,13813327948133278100,519742000000000000,2747307000000000000,142857142857142857,355932203389830508,78,651093807934742306,512500000000000000,2124,644067796610169491,1011,,343237190200623587,80253,3,29,0,0,0
persistent_informed_buying,503,fixed_fee,240,0,500,1701000000000000000,-1009561284284457480533,-1007860284284457480533,12489863754898636300,490000000000000000,1211000000000000000,0,1000000000000000000,,0,0,0,0,500,,0,80253,,0,0,0,0
persistent_informed_buying,503,volatility_only,240,200000,843,2891067000000000000,-1009561284284457480533,-1006670217284457480533,12489863754898636300,689520000000000000,2201547000000000000,492957746478873239,35502958579881656,9,978530140379851362,825000000000000000,3090,0,904,,1000000000000000000,80253,3,30,0,0,0
persistent_informed_buying,503,raw_positive_markout,240,100000,843,2902249000000000000,-1009561284284457480533,-1006659035284457480533,12489863754898636300,579600000000000000,2322649000000000000,281690140845070422,41420118343195266,11,969859620148637489,758333333333333333,1595,958579881656804733,951,,700963247249765876,80253,3,30,0,0,0
persistent_informed_buying,503,dead_band_no_persistence,240,350000,859,2968760000000000000,-1009561284284457480533,-1006592524284457480533,12489863754898636300,582000000000000000,2386760000000000000,140845070422535211,171597633136094674,40,842691990090834021,625000000000000000,2803,828402366863905325,974,,453867482843222595,80253,3,30,0,0,0
persistent_informed_buying,503,thetashield,240,500000,912,3160764000000000000,-1009561284284457480533,-1006400520284457480533,12489863754898636300,609508000000000000,2551256000000000000,126760563380281690,307692307692307692,66,712221304706853839,525000000000000000,1662,692307692307692307,1042,,375784079420359372,80253,3,30,0,0,0
persistent_informed_selling,101,fixed_fee,240,0,500,1850500000000000000,-928020946798084034472,-926170446798084034472,14011493050114929100,503000000000000000,1347500000000000000,0,1000000000000000000,,0,0,0,0,,500,0,80253,,0,0,0,0
persistent_informed_selling,101,volatility_only,240,200000,818,3030169000000000000,-928020946798084034472,-924990777798084034472,14011493050114929100,685011000000000000,2345158000000000000,476190476190476190,50847457627118644,10,957699443413729128,825000000000000000,2684,0,,867,1000000000000000000,80253,3,30,0,0,0
persistent_informed_selling,101,raw_positive_markout,240,100000,862,3189347000000000000,-928020946798084034472,-924831599798084034472,14011493050114929100,590003000000000000,2599344000000000000,190476190476190476,45197740112994350,9,963265306122448979,754166666666666666,2282,954802259887005649,,960,702661597815241217,80253,3,29,0,0,0
