split,case_id,dead_band_k_wad,required_toxic_epochs,persistence_window,maximum_increase_pips,maximum_decrease_pips,challenge_benign_false_positive_rate_wad,fpr_reduction_mean_wad,fpr_reduction_ci95_low_wad,fpr_reduction_ci95_high_wad,oscillation_reduction_mean_pips,oscillation_reduction_ci95_low_pips,oscillation_reduction_ci95_high_pips,raw_toxic_premium_coverage_wad,thetashield_toxic_premium_coverage_wad,retained_coverage_ratio_wad,h5_status,training_guardrails_met
training,h5__k_0p5__p_3_of_5__up_750__down_250,500000000000000000,3,5,750,250,46666666666666666,218428440570545856,177375977816480656,259480903324611056,-2,-1160,1156,952108674933560254,535867069467577354,562821328673400712,inconclusive,False
training,h5__k_0p5__p_3_of_5__up_1000__down_50,500000000000000000,3,5,1000,50,189999999999999999,123506138023802644,70708703609722045,176303572437883243,2105,1288,2922,952108674933560254,671750650715400442,705539890981747785,pass,False
training,h5__k_0p5__p_3_of_5__up_1000__down_100,500000000000000000,3,5,1000,100,107777777777777777,135308713496867559,82770379672345626,187847047321389492,1201,414,1988,952108674933560254,640729000486788819,672957843317098194,pass,False
training,h5__k_0p5__p_3_of_5__up_1000__down_150,500000000000000000,3,5,1000,150,93333333333333333,167451516572460293,121865315438825311,213037717706095275,609,-233,1451,952108674933560254,608091638428415114,638678813078610771,inconclusive,False
training,h5__k_0p5__p_3_of_5__up_1000__down_200,500000000000000000,3,5,1000,200,61111111111111110,191110158472289185,148671997383609057,233548319560969313,162,-794,1118,952108674933560254,585732219159548439,615194708944776518,inconclusive,False
training,h5__k_0p5__p_3_of_5__up_1000__down_250,500000000000000000,3,5,1000,250,46666666666666666,213489297118225536,173532814408713525,253445779827737547,-200,-1309,909,952108674933560254,547362157170772276,574894622411636075,inconclusive,False
training,h5__k_1__p_2_of_3__up_500__down_50,1000000000000000000,2,3,500,50,48888888888888888,131390022993959996,78054887800809198,184725158187110794,2394,1548,3240,952108674933560254,655836610240020309,688825369946120585,pass,True
training,h5__k_1__p_2_of_3__up_500__down_100,1000000000000000000,2,3,500,100,31111111111111110,157412229479272395,103376185617022996,211448273341521794,1700,838,2562,952108674933560254,597926917359216497,628002803777563358,pass,True
training,h5__k_1__p_2_of_3__up_500__down_150,1000000000000000000,2,3,500,150,17777777777777777,192450818781170599,146766930156541529,238134707405799669,1305,378,2232,952108674933560254,553328487759897563,581161061050630335,pass,False
training,h5__k_1__p_2_of_3__up_500__down_200,1000000000000000000,2,3,500,200,15555555555555555,220571419583221042,178686391788079859,262456447378362225,1042,23,2061,952108674933560254,530227743906336678,556898343504051008,pass,False
training,h5__k_1__p_2_of_3__up_500__down_250,1000000000000000000,2,3,500,250,15555555555555555,241570358334200015,201126197524717786,282014519143682244,912,-162,1986,952108674933560254,495716219734008903,520650880288009995,inconclusive,False
training,h5__k_1__p_2_of_3__up_750__down_50,1000000000000000000,2,3,750,50,48888888888888888,127190348550118433,74527949615131326,179852747485105540,2339,1512,3166,952108674933560254,664728544083410845,698164570478046239,pass,True
training,h5__k_1__p_2_of_3__up_750__down_100,1000000000000000000,2,3,750,100,31111111111111110,150334096001247436,98554721419038353,202113470583456519,1593,780,2406,952108674933560254,612182656282982487,642975610242918565,pass,True
training,h5__k_1__p_2_of_3__up_750__down_150,1000000000000000000,2,3,750,150,17777777777777777,188024383666326452,143586117489354066,232462649843298838,1140,298,1982,952108674933560254,567610588094829103,596161554913295927,pass,False
training,h5__k_1__p_2_of_3__up_750__down_200,1000000000000000000,2,3,750,200,15555555555555555,216093055478574872,175147580236422825,257038530720726919,827,-107,1761,952108674933560254,541213768220548909,568436967826509633,inconclusive,False
training,h5__k_1__p_2_of_3__up_750__down_250,1000000000000000000,2,3,750,250,15555555555555555,230380674391384187,191426508104513731,269334840678254643,622,-387,1631,952108674933560254,521525444828476990,547758316417892015,inconclusive,False
training,h5__k_1__p_2_of_3__up_1000__down_50,1000000000000000000,2,3,1000,50,48888888888888888,127190348550118433,74527949615131326,179852747485105540,2338,1513,3163,952108674933560254,664728544083410845,698164570478046239,pass,True
training,h5__k_1__p_2_of_3__up_1000__down_100,1000000000000000000,2,3,1000,100,31111111111111110,150334096001247436,98554721419038353,202113470583456519,1590,779,2401,952108674933560254,612182656282982487,642975610242918565,pass,True
training,h5__k_1__p_2_of_3__up_1000__down_150,1000000000000000000,2,3,1000,150,17777777777777777,187761225771589610,143498498500340776,232023953042838444,1137,295,1979,952108674933560254,568975997717715969,597595645011237894,pass,False
training,h5__k_1__p_2_of_3__up_1000__down_200,1000000000000000000,2,3,1000,200,15555555555555555,216093055478574872,175147580236422825,257038530720726919,819,-112,1750,952108674933560254,541213768220548909,568436967826509633,inconclusive,False
training,h5__k_1__p_2_of_3__up_1000__down_250,1000000000000000000,2,3,1000,250,15555555555555555,228813956684935846,190563216940126149,267064696429745543,614,-391,1619,952108674933560254,526587041859091396,553074513154538294,inconclusive,False
training,h5__k_1__p_3_of_5__up_500__down_50,1000000000000000000,3,5,500,50,48888888888888888,131390022993959996,78054887800809198,184725158187110794,2394,1548,3240,952108674933560254,655836610240020309,688825369946120585,pass,True
training,h5__k_1__p_3_of_5__up_500__down_100,1000000000000000000,3,5,500,100,31111111111111110,157412229479272395,103376185617022996,211448273341521794,1700,838,2562,952108674933560254,597926917359216497,628002803777563358,pass,True
training,h5__k_1__p_3_of_5__up_500__down_150,1000000000000000000,3,5,500,150,17777777777777777,192450818781170599,146766930156541529,238134707405799669,1305,378,2232,952108674933560254,553328487759897563,581161061050630335,pass,False
training,h5__k_1__p_3_of_5__up_500__down_200,1000000000000000000,3,5,500,200,15555555555555555,220571419583221042,178686391788079859,262456447378362225,1042,23,2061,952108674933560254,530227743906336678,556898343504051008,pass,False
training,h5__k_1__p_3_of_5__up_500__down_250,1000000000000000000,3,5,500,250,15555555555555555,241570358334200015,201126197524717786,282014519143682244,912,-162,1986,952108674933560254,495716219734008903,520650880288009995,inconclusive,False
training,h5__k_1__p_3_of_5__up_750__down_50,1000000000000000000,3,5,750,50,48888888888888888,127190348550118433,74527949615131326,179852747485105540,2339,1512,3166,952108674933560254,664728544083410845,698164570478046239,pass,True
training,h5__k_1__p_3_of_5__up_750__down_100,1000000000000000000,3,5,750,100,31111111111111110,150334096001247436,98554721419038353,202113470583456519,1593,780,2406,952108674933560254,612182656282982487,642975610242918565,pass,True
training,h5__k_1__p_3_of_5__up_750__down_150,1000000000000000000,3,5,750,150,17777777777777777,188024383666326452,143586117489354066,232462649843298838,1140,298,1982,952108674933560254,567610588094829103,596161554913295927,pass,False
training,h5__k_1__p_3_of_5__up_750__down_200,1000000000000000000,3,5,750,200,15555555555555555,216093055478574872,175147580236422825,257038530720726919,827,-107,1761,952108674933560254,541213768220548909,568436967826509633,inconclusive,False
training,h5__k_1__p_3_of_5__up_750__down_250,1000000000000000000,3,5,750,250,15555555555555555,230380674391384187,191426508104513731,269334840678254643,622,-387,1631,952108674933560254,521525444828476990,547758316417892015,inconclusive,False
training,h5__k_1__p_3_of_5__up_1000__down_50,1000000000000000000,3,5,1000,50,48888888888888888,127190348550118433,74527949615131326,179852747485105540,2338,1513,3163,952108674933560254,664728544083410845,698164570478046239,pass,True
training,h5__k_1__p_3_of_5__up_1000__down_100,1000000000000000000,3,5,1000,100,31111111111111110,150334096001247436,98554721419038353,202113470583456519,1590,779,2401,952108674933560254,612182656282982487,642975610242918565,pass,True
training,h5__k_1__p_3_of_5__up_1000__down_150,1000000000000000000,3,5,1000,150,17777777777777777,187761225771589610,143498498500340776,232023953042838444,1137,295,1979,952108674933560254,568975997717715969,597595645011237894,pass,False
training,h5__k_1__p_3_of_5__up_1000__down_200,1000000000000000000,3,5,1000,200,15555555555555555,216093055478574872,175147580236422825,257038530720726919,819,-112,1750,952108674933560254,541213768220548909,568436967826509633,inconclusive,False
training,h5__k_1__p_3_of_5__up_1000__down_250,1000000000000000000,3,5,1000,250,15555555555555555,228813956684935846,190563216940126149,267064696429745543,614,-391,1619,952108674933560254,526587041859091396,553074513154538294,inconclusive,False
training,h5__k_1p5__p_2_of_3__up_500__down_50,1500000000000000000,2,3,500,50,0,171150004669101913,114538367952859099,227761641385344727,2809,1853,3765,952108674933560254,492756589748563084,517542380110073535,pass,False
training,h5__k_1p5__p_2_of_3__up_500__down_100,1500000000000000000,2,3,500,100,0,211308612756287448,153354894038912198,269262331473662698,2441,1461,3421,952108674933560254,435498233293274745,457403912766223398,inconclusive,False
training,h5__k_1p5__p_2_of_3__up_500__down_150,1500000000000000000,2,3,500,150,0,250585866317357152,204141250607013335,297030482027700969,2351,1377,3325,952108674933560254,402611471339472858,422862937749798114,inconclusive,False
training,h5__k_1p5__p_2_of_3__up_500__down_200,1500000000000000000,2,3,500,200,0,270851594146493981,228125967499231230,313577220793756732,2309,1337,3281,952108674933560254,356226352115486640,374144634424578385,inconclusive,False
training,h5__k_1p5__p_2_of_3__up_500__down_250,1500000000000000000,2,3,500,250,0,286468464567993419,245433191289707112,327503737846279726,2283,1309,3257,952108674933560254,343502001594949168,360780245615259535,inconclusive,False
training,h5__k_1p5__p_2_of_3__up_750__down_50,1500000000000000000,2,3,750,50,0,171150004669101913,114538367952859099,227761641385344727,2805,1851,3759,952108674933560254,497218346122500761,522228564042017046,pass,False
training,h5__k_1p5__p_2_of_3__up_750__down_100,1500000000000000000,2,3,750,100,0,210782296966813764,152914667565986749,268649926367640779,2437,1459,3415,952108674933560254,436985485417920637,458965974076871235,inconclusive,False
training,h5__k_1p5__p_2_of_3__up_750__down_150,1500000000000000000,2,3,750,150,0,250585866317357152,204141250607013335,297030482027700969,2348,1376,3320,952108674933560254,402611471339472858,422862937749798114,inconclusive,False
training,h5__k_1p5__p_2_of_3__up_750__down_200,1500000000000000000,2,3,750,200,0,270851594146493981,228125967499231230,313577220793756732,2299,1327,3271,952108674933560254,356226352115486640,374144634424578385,inconclusive,False
training,h5__k_1p5__p_2_of_3__up_750__down_250,1500000000000000000,2,3,750,250,0,284191136632770747,243069841928793668,325312431336747826,2273,1299,3247,952108674933560254,343609429464807977,360893077136163706,inconclusive,False
training,h5__k_1p5__p_2_of_3__up_1000__down_50,1500000000000000000,2,3,1000,50,0,171150004669101913,114538367952859099,227761641385344727,2805,1851,3759,952108674933560254,497218346122500761,522228564042017046,pass,False
training,h5__k_1p5__p_2_of_3__up_1000__down_100,1500000000000000000,2,3,1000,100,0,210782296966813764,152914667565986749,268649926367640779,2437,1459,3415,952108674933560254,436985485417920637,458965974076871235,inconclusive,False
training,h5__k_1p5__p_2_of_3__up_1000__down_150,1500000000000000000,2,3,1000,150,0,250585866317357152,204141250607013335,297030482027700969,2348,1376,3320,952108674933560254,402611471339472858,422862937749798114,inconclusive,False
training,h5__k_1p5__p_2_of_3__up_1000__down_200,1500000000000000000,2,3,1000,200,0,270851594146493981,228125967499231230,313577220793756732,2299,1327,3271,952108674933560254,356226352115486640,374144634424578385,inconclusive,False
training,h5__k_1p5__p_2_of_3__up_1000__down_250,1500000000000000000,2,3,1000,250,0,284191136632770747,243069841928793668,325312431336747826,2273,1299,3247,952108674933560254,343609429464807977,360893077136163706,inconclusive,False
training,h5__k_1p5__p_3_of_5__up_500__down_50,1500000000000000000,3,5,500,50,0,171150004669101913,114538367952859099,227761641385344727,2809,1853,3765,952108674933560254,492756589748563084,517542380110073535,pass,False
training,h5__k_1p5__p_3_of_5__up_500__down_100,1500000000000000000,3,5,500,100,0,211308612756287448,153354894038912198,269262331473662698,2441,1461,3421,952108674933560254,435498233293274745,457403912766223398,inconclusive,False
training,h5__k_1p5__p_3_of_5__up_500__down_150,1500000000000000000,3,5,500,150,0,250585866317357152,204141250607013335,297030482027700969,2351,1377,3325,952108674933560254,402611471339472858,422862937749798114,inconclusive,False
training,h5__k_1p5__p_3_of_5__up_500__down_200,1500000000000000000,3,5,500,200,0,272552274418602825,229686729768135081,315417819069070569,2309,1337,3281,952108674933560254,356226352115486640,374144634424578385,inconclusive,False
training,h5__k_1p5__p_3_of_5__up_500__down_250,1500000000000000000,3,5,500,250,0,286468464567993419,245433191289707112,327503737846279726,2283,1309,3257,952108674933560254,343502001594949168,360780245615259535,inconclusive,False
training,h5__k_1p5__p_3_of_5__up_750__down_50,1500000000000000000,3,5,750,50,0,171150004669101913,114538367952859099,227761641385344727,2805,1851,3759,952108674933560254,497218346122500761,522228564042017046,pass,False
training,h5__k_1p5__p_3_of_5__up_750__down_100,1500000000000000000,3,5,750,100,0,210782296966813764,152914667565986749,268649926367640779,2437,1459,3415,952108674933560254,436985485417920637,458965974076871235,inconclusive,False
